id,url,owner_id,name,description,language,created_at,forked_from,deleted,updated_at,watches,is_learning_proj
53632,https://api.github.com/repos/adamsardar/HGT,136487,HGT,Scripts to study HGT using the SUPERFAMILY database,Perl,11/25/2011 20:24:46,,0,10/13/2016 07:30:45,,1
135361,https://api.github.com/repos/trabus/tictactoe,96178,tictactoe,Tic Tac Toe in node.js as a learning project,JavaScript,06/29/2012 04:53:37,,0,10/17/2016 10:36:20,,1
284641,https://api.github.com/repos/svenwittek/simple-game,472645,simple-game,My first c# learnings,,08/16/2012 14:21:29,,0,10/18/2016 21:42:37,,1
502456,https://api.github.com/repos/vietnqexo/eXo-iOS-training,46359,eXo-iOS-training,sample code while studying iOS,Objective-C,08/22/2012 03:58:41,,0,11/25/2016 19:08:04,,1
507236,https://api.github.com/repos/ariel-showberry/blog,590743,blog,little blog rails app to learn about rails,Ruby,08/22/2012 12:10:10,,0,11/25/2016 19:29:06,,1
560143,https://api.github.com/repos/thebitmonk/foodM,621307,foodM,learning android,Java,08/25/2012 21:57:51,,0,11/26/2016 00:42:45,,1
659137,https://api.github.com/repos/vrdabomb5717/Learn-C-The-Hard-Way,156855,Learn-C-The-Hard-Way,Re-learning C. I refuse to be scared anymore!,C,01/21/2012 03:52:48,,0,11/26/2016 07:16:12,,1
664176,https://api.github.com/repos/limone/learn,513154,learn,learn!,JavaScript,08/31/2012 19:47:39,,0,11/26/2016 07:32:30,,1
475588,https://api.github.com/repos/newlife/learning-rails,191284,learning-rails,,Ruby,08/22/2012 15:11:36,,0,11/25/2016 16:55:11,,1
588378,https://api.github.com/repos/dyninc/lunch-and-learn,411104,lunch-and-learn,Dyn Inc Educational Materials,JavaScript,04/03/2012 16:32:34,,0,11/26/2016 03:04:19,,1
17439,https://api.github.com/repos/jeras/sigrok,60690,sigrok,sigrok,C,05/22/2012 20:21:59,,0,10/11/2016 20:35:34,,0
19130,https://api.github.com/repos/kijanawoodard/SubscriptionFulfillment,64146,SubscriptionFulfillment,,JavaScript,08/03/2012 04:12:34,,0,10/11/2016 20:54:56,,0
21852,https://api.github.com/repos/KnpLabs/Gaufrette,7457,Gaufrette,PHP5 library that provides a filesystem abstraction layer  will be a feast for your files!,PHP,01/18/2011 17:02:25,,0,10/11/2016 21:17:33,,0
27568,https://api.github.com/repos/plapier/soapbox,85872,soapbox,Sass UI Library for HTML Forms - Built with Bourbon and Sass,CSS,06/29/2012 18:48:08,,0,10/11/2016 21:58:10,,0
29822,https://api.github.com/repos/couchbaselabs/TouchDB-iOS,32971,TouchDB-iOS,CouchDB-compatible mobile database; Objective-C version,Objective-C,12/13/2011 22:47:10,,0,10/11/2016 22:08:09,,0
32169,https://api.github.com/repos/RandomEtc/js-vector-maps,17912,js-vector-maps,mapnik-esque javascript classes for rendering OpenStreetMap data using <canvas>,JavaScript,06/07/2009 06:18:38,,0,10/11/2016 22:13:11,,0
42661,https://api.github.com/repos/Teaonly/android-eye,118941,android-eye,Change your android phone to surveillance camera,C,07/25/2012 21:54:40,,0,10/11/2016 23:15:22,,0
44191,https://api.github.com/repos/lcynot/lcynot.github.com,97191,lcynot.github.com,,JavaScript,04/10/2012 14:05:29,,0,10/12/2016 18:09:18,,0
51989,https://api.github.com/repos/xuxiaodong/tmuxen,7117,tmuxen,tmux environment made easy.,Shell,07/01/2012 13:37:20,,0,10/13/2016 00:28:17,,0
57422,https://api.github.com/repos/01org/web-simulator,16283,web-simulator,"The Web Simulator is a lightweight tool for developing mobile web applications. Extending the Google Chrome developer tools, it enables running and debugging web APIs for a variety of mobile platforms.",JavaScript,04/16/2012 16:50:17,,0,10/13/2016 08:00:05,,0
58357,https://api.github.com/repos/gcoop-libre/RecibosCoop,125405,RecibosCoop,Herramienta para generar recibos de retiros para cooperativas de trabajo en argentina,JavaScript,05/31/2012 16:19:20,,0,10/13/2016 08:06:36,,0
63783,https://api.github.com/repos/valmy/julius,64704,julius,Unannounced project purpose yet. It has something to do with chess.,Python,08/04/2012 14:23:40,,0,10/13/2016 08:33:43,,0
65065,https://api.github.com/repos/LeoUnglaub/HannaSQL,20058,HannaSQL,HannaSQL is a native Linux GUI-Client for MySQL Databases. Inspired by HeidiSQL.,,06/14/2012 14:58:57,,0,10/13/2016 08:41:38,,0
65841,https://api.github.com/repos/stefanberndtsson/c64iec,157194,c64iec,Partial floppy emulation using an Arduino,C++,07/30/2012 21:05:08,,0,10/13/2016 08:45:08,,0
69922,https://api.github.com/repos/joelbyler/AndroidPomodoroTimer,134413,AndroidPomodoroTimer,,JavaScript,07/30/2012 18:59:26,,0,10/13/2016 09:24:24,,0
71866,https://api.github.com/repos/skyscreamer/yoga,210906,yoga,Yoga is RESTful but flexible.,Java,04/09/2011 19:11:32,,0,10/13/2016 09:36:50,,0
79334,https://api.github.com/repos/Bloemerang/Scenit,250145,Scenit,Lightweight visual Collada editor,Objective-C,08/03/2012 02:02:43,,0,10/13/2016 10:43:34,,0
