id,url,owner_id,name,description,language,created_at,deleted,updated_at,watchers,tag,category,overall_category
7013168,https://api.github.com/repos/jlord/git-it,2016667,git-it,:computer: :mortar_board: A workshopper for learning Git and GitHub. The guide ?,HTML,12/18/2013 23:50:01,0,02/22/2016 15:55:13,1311,git,tool,practical skills
20669523,https://api.github.com/repos/xirong/my-git,3690478,my-git,Individual collecting material of learning git??? git ??????,None,05/30/2015 14:02:04,0,03/06/2016 18:08:29,3211,git,tool,practical skills
30382737,https://api.github.com/repos/denysdovhan/bash-handbook,1476952,bash-handbook,For those who wanna learn Bash,JavaScript,12/30/2015 20:41:00,0,02/13/2016 09:22:21,2833,bash,tool,practical skills
15277243,https://api.github.com/repos/thoughtbot/til,10963,til,Today I Learned,None,01/16/2015 22:21:28,0,03/05/2016 06:20:30,3588,learn note,learn note,knowledge
16039516,https://api.github.com/repos/jbranchaud/til,273352,TIL,Today I Learned,VimL,02/07/2015 04:03:24,0,02/21/2016 18:16:54,5435,learn note,learn note,knowledge
16809326,https://api.github.com/repos/ming1016/study,174322,study,,None,02/26/2015 07:50:52,0,02/28/2016 08:59:12,1235,learn note,learn note,knowledge
25226351,https://api.github.com/repos/ChenYilong/ParseSourceCodeStudy,3828331,ParseSourceCodeStudy,Facebook???Parse????????,Objective-C,09/04/2015 15:08:12,0,02/10/2016 11:32:10,2410,learn note,learn note,knowledge
30465897,https://api.github.com/repos/shekhargulati/52-technologies-in-2016,266118,52-technologies-in-2016,Lets learn a new technology every week. A new technology blog every Sunday in 2016.,HTML,01/03/2016 17:06:03,0,03/03/2016 20:24:26,6794,learn note,learn note,knowledge
38718445,https://api.github.com/repos/GeniusVJR/LearningNotes,10218254,LearningNotes,????????????.,None,06/08/2016 16:09:17,0,01/02/1970 00:00:00,5610,learn note,learn note,knowledge
8111,https://api.github.com/repos/functional-koans/clojure-koans,32486,clojure-koans,A set of exercises for learning Clojure,Clojure,11/02/2010 22:12:23,0,10/11/2016 15:21:55,2186,Clojure,language,practical skills
10647,https://api.github.com/repos/gregmalcolm/python_koans,39463,python_koans,Python Koans - Learn Python through TDD,Python,03/01/2010 17:04:31,0,10/11/2016 15:43:36,1634,python,language,practical skills
16100,https://api.github.com/repos/ryanb/ruby-warrior,1063,ruby-warrior,Game written in Ruby for learning Ruby and artificial intelligence.,Ruby,07/04/2008 21:59:44,0,10/11/2016 20:18:12,2208,ruby,language,practical skills
