year,quantity,tag
2012,4769,projects
2013,16161,projects
2014,36901,projects
2015,108157,projects
2016,180303,projects
2012,5806,participants
2013,18366,participants
2014,40517,participants
2015,111898,participants
2016,176719,participants
2012,3412,issues
2013,8429,issues
2014,19611,issues
2015,41717,issues
2016,49145,issues
2012,2746,prs
2013,7684,prs
2014,17372,prs
2015,46287,prs
2016,75793,prs
2012,9058,watchers
2013,18495,watchers
2014,57249,watchers
2015,205968,watchers
2016,434564,watchers
