Respondent ID,Collector ID,Start Date,End Date,What's your occupation?,,How long have you been engaged in software development since graduation from school?,How long have you been using GitHub?,[Multiple Choice] What motivates you to host your learning materials in GitHub?,,,,,How often do you update the repositories of your learning projects?,How often do you check the status (e.g. issues and pull requests) of your learning projects?,How often do you review the quality of the submitted pull requests?,"What would you do if you are not sure about the quality of a pull request? (e.g., a translated version in another language of your learning materials)",,Do you agree that the GitHub platform supports well for the learning purpose?,"Do you agree that the social features (e.g., issues and comments) do help to improve your learning effects?","Do you agree that the social features (e.g., issues and comments) do help to improve the quality of the learning materials?",Do you agree that the social learning in GitHub helps you learn something that you can not learn in traditional classroom or e-learning platforms?,[Multiple Choice] How do you benefit from hosting learning materials in GitHub?,,,,,What challenges or problems have you encountered on managing a learning project in GitHub?,What suggestions do you have on the platform improvement for supporting social learning in GitHub?,[OPTIONAL] Write down anything you want to say about learning in GitHub.
,,,,Response,Other (please specify),Response,Response,The convenience for version control,The openness of GitHub,"The features of obtaining contributions from others (e.g., using pull requests)",The features of communicating with others (e.g. using issues),Other (please specify),Response,Response,Response,Response,Other (please specify),Response,Response,Response,Response,Obtaining contributions from the community,Finding my mistakes during learning,Obtaining answers or suggestions from the community,Meeting like-minded friends in the world,Other (please specify),Open-Ended Response,Open-Ended Response,Open-Ended Response
6249510431,157793279,06/17/2017 07:56:18 AM,06/17/2017 08:04:25 AM,Company employee,,1~5 years,1~3 years,,The openness of GitHub,,The features of communicating with others (e.g. using issues),,Always,Always,Always,Assigning it to others to review,,Strongly agree,Strongly agree,Strongly agree,Neutral,Obtaining contributions from the community,Finding my mistakes during learning,Obtaining answers or suggestions from the community,Meeting like-minded friends in the world,,GitHub on mobile application is not friendly,It should have chatting also.,
6246922992,157793279,06/15/2017 10:50:51 PM,06/15/2017 10:53:30 PM,Company employee,,1~5 years,1~3 years,The convenience for version control,The openness of GitHub,"The features of obtaining contributions from others (e.g., using pull requests)",The features of communicating with others (e.g. using issues),,Often,Often,Often,Assigning it to others to review,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Finding my mistakes during learning,Obtaining answers or suggestions from the community,Meeting like-minded friends in the world,,"None, everything is ok!",,
6244261782,157793279,06/14/2017 02:31:37 PM,06/14/2017 02:36:39 PM,Company employee,,1~5 years,4~6 years,,The openness of GitHub,"The features of obtaining contributions from others (e.g., using pull requests)",The features of communicating with others (e.g. using issues),,Occasionally,Often,Often,Assigning it to others to review,,Strongly agree,Agree,Agree,Strongly agree,Obtaining contributions from the community,Finding my mistakes during learning,Obtaining answers or suggestions from the community,Meeting like-minded friends in the world,,update,keep learning,
6244047585,157793279,06/14/2017 02:58:26 AM,06/14/2017 10:07:46 AM,Company employee,,1~5 years,>6 years,The convenience for version control,The openness of GitHub,"The features of obtaining contributions from others (e.g., using pull requests)",The features of communicating with others (e.g. using issues),,Often,Always,Always,Assigning it to others to review,,Agree,Agree,Agree,Agree,Obtaining contributions from the community,Finding my mistakes during learning,Obtaining answers or suggestions from the community,,,-,-,
6243488383,157793279,06/14/2017 03:16:45 AM,06/14/2017 03:19:39 AM,Company employee,,>10 years,4~6 years,,The openness of GitHub,"The features of obtaining contributions from others (e.g., using pull requests)",,,Always,Always,Always,Assigning it to others to review,,Agree,Strongly agree,Agree,Strongly disagree,Obtaining contributions from the community,,,,,none,"none, We view it as a good place to provide working examples. There is more to training and learning than that but a versioned verified repo if examples is a nice addition to helping users learn",
6243454275,157793279,06/13/2017 11:26:59 PM,06/14/2017 03:00:24 AM,Company employee,,6~10 years,>6 years,The convenience for version control,The openness of GitHub,,,,Occasionally,Often,Always,Assigning it to others to review,,Agree,Agree,Strongly agree,Agree,,,Obtaining answers or suggestions from the community,Meeting like-minded friends in the world,,Contributions are much harder to come by as it may seem.,Documentation is still a challenge. There are great external tools like http://gitbook.io/ but other than a good Markdown visualization nothing offered directly by Github.,
6242778549,157793279,06/13/2017 09:22:34 PM,06/13/2017 09:29:10 PM,Company employee,,>10 years,4~6 years,,The openness of GitHub,"The features of obtaining contributions from others (e.g., using pull requests)",,,Occasionally,Occasionally,Always,Just leaving it there,,Neutral,Agree,Agree,Disagree,,,Obtaining answers or suggestions from the community,,,"No real problems, I publish it shows up","Being able to execute the code like one of the Playground sites, example https://play.golang.org/",Octocat
6242489151,157793279,06/13/2017 06:17:50 PM,06/13/2017 06:20:28 PM,Company employee,,1~5 years,4~6 years,,The openness of GitHub,,,,Often,Occasionally,Always,Closing it,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Obtaining contributions from the community,Finding my mistakes during learning,Obtaining answers or suggestions from the community,Meeting like-minded friends in the world,,"Fixing, checking and analyzing all the issues found by community in my projects",For me everything is ok as it is now,
6242274560,157793279,06/13/2017 02:43:33 PM,06/13/2017 02:54:06 PM,Other (please specify),CEO at a software development company,6~10 years,4~6 years,The convenience for version control,The openness of GitHub,,,,Occasionally,Always,Always,Just leaving it there,,Agree,Neutral,Agree,Agree,Obtaining contributions from the community,Finding my mistakes during learning,,Meeting like-minded friends in the world,,"It's difficult to combine a full-time job and a maintain an open source project. It's not only a matter the financial support. Oftentimes you need to answer and address questions from the community which are put in a very demanding way. People don't realize what an open source project is and the role of a typical maintainer. It takes a fair amount of perseverance to continue doing it. It's not a problem of GitHub per se. It's more of a cultural issue, which affects the developer community. ",I'd wish it'd be easier to somehow promote the project to attract more contributors or/and individuals that are interested in contributing.,
6242250796,157793279,06/13/2017 02:23:56 PM,06/13/2017 02:26:14 PM,Other (please specify),Freelancer,>10 years,4~6 years,The convenience for version control,The openness of GitHub,,,,Occasionally,Occasionally,Occasionally,Closing it,,Agree,Agree,Agree,Agree,Obtaining contributions from the community,,Obtaining answers or suggestions from the community,,,"Not much, some people have difficulty understanding git, or getting the code, but that can be easily managed by some additional explanation.",,
6242127270,157793279,06/13/2017 11:30:53 AM,06/13/2017 11:36:40 AM,Other (please specify),Full time self study ,1~5 years,1~3 years,,,,,"I can point users to one place which continues to develop, and users can easily see what is new when",Occasionally,Occasionally,Occasionally,Closing it,,Neutral,Neutral,Agree,Disagree,,,,,"Really just convenient since thsts where all my other projects are. Pinned repositories also means it is Somewhat a part of my ""portfolio""",none,,
6242095899,157793279,06/13/2017 10:54:18 AM,06/13/2017 10:56:29 AM,Company employee,,6~10 years,1~3 years,The convenience for version control,The openness of GitHub,"The features of obtaining contributions from others (e.g., using pull requests)",The features of communicating with others (e.g. using issues),,Occasionally,Always,Often,Other (please specify),"Merge, then fix or revert. Hintjens' legacy.",Agree,Strongly agree,Strongly agree,Agree,Obtaining contributions from the community,Finding my mistakes during learning,Obtaining answers or suggestions from the community,Meeting like-minded friends in the world,,"I cannot allow guests to assign their own labels, so I issue them upon request.",Nothing for social learning.,
6242095373,157793279,06/13/2017 10:50:49 AM,06/13/2017 10:56:09 AM,Company employee,,6~10 years,4~6 years,The convenience for version control,The openness of GitHub,"The features of obtaining contributions from others (e.g., using pull requests)",The features of communicating with others (e.g. using issues),,Occasionally,Often,Always,Assigning it to others to review,,Strongly agree,Strongly agree,Agree,Strongly agree,Obtaining contributions from the community,Finding my mistakes during learning,Obtaining answers or suggestions from the community,Meeting like-minded friends in the world,,Putting enough dedicated time to commit new content when having a full time day job is challenging. ,Highlight the most starred and most forked projects in different categories. These are quality content and should be highlighted enough to the users. ,
6242088695,157793279,06/13/2017 10:26:45 AM,06/13/2017 10:48:24 AM,Company employee,,>10 years,>6 years,The convenience for version control,The openness of GitHub,"The features of obtaining contributions from others (e.g., using pull requests)",The features of communicating with others (e.g. using issues),,Always,Always,Always,Assigning it to others to review,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Obtaining contributions from the community,Finding my mistakes during learning,Obtaining answers or suggestions from the community,Meeting like-minded friends in the world,,there is no problem or challenge,there should be a graveyard repos. Users may want to leave a repo there instead of delete.,
6242080081,157793279,06/13/2017 10:34:05 AM,06/13/2017 10:38:29 AM,Student,,1~5 years,1~3 years,,The openness of GitHub,,,,Often,Occasionally,Often,Just leaving it there,,Strongly agree,Agree,Neutral,Strongly agree,,,,Meeting like-minded friends in the world,,The maximize file size limit. ,It would be great if markdown supports video clips.,It is super great! I really appreciate the services provided in GitHub. 
6239918981,157793279,06/12/2017 02:37:32 AM,06/12/2017 02:39:42 AM,Full-time open source developer,,>10 years,4~6 years,The convenience for version control,The openness of GitHub,"The features of obtaining contributions from others (e.g., using pull requests)",The features of communicating with others (e.g. using issues),,Often,Often,Often,Assigning it to others to review,,Agree,Agree,Agree,Agree,Obtaining contributions from the community,Finding my mistakes during learning,Obtaining answers or suggestions from the community,Meeting like-minded friends in the world,,none,none,
6239245610,157793279,06/11/2017 01:07:48 AM,06/11/2017 01:11:24 AM,Student,,1~5 years,1~3 years,The convenience for version control,The openness of GitHub,,The features of communicating with others (e.g. using issues),,Often,Often,Often,Assigning it to others to review,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Obtaining contributions from the community,Finding my mistakes during learning,Obtaining answers or suggestions from the community,Meeting like-minded friends in the world,,how to make more people participate in,none,none
6238927354,157793279,06/10/2017 03:18:43 PM,06/10/2017 03:25:15 PM,Company employee,,1~5 years,1~3 years,,The openness of GitHub,"The features of obtaining contributions from others (e.g., using pull requests)",,,Occasionally,Occasionally,Occasionally,Merging it directly,,Agree,Agree,Strongly agree,Agree,Obtaining contributions from the community,Finding my mistakes during learning,,,,A problem is managing my motivation of managing a project.,I don't have.  GitHub is great.,
6238908247,157793279,06/10/2017 02:39:52 PM,06/10/2017 02:41:57 PM,Student,,1~5 years,4~6 years,The convenience for version control,The openness of GitHub,"The features of obtaining contributions from others (e.g., using pull requests)",The features of communicating with others (e.g. using issues),,Often,Always,Always,Other (please specify),Contacting the issuer.,Strongly agree,Strongly agree,Strongly agree,Agree,Obtaining contributions from the community,Finding my mistakes during learning,Obtaining answers or suggestions from the community,Meeting like-minded friends in the world,,None. The manuals are extremely friendly.,None.,
6238185203,157793279,06/10/2017 01:41:47 AM,06/10/2017 01:45:40 AM,Company employee,,6~10 years,4~6 years,The convenience for version control,The openness of GitHub,"The features of obtaining contributions from others (e.g., using pull requests)",The features of communicating with others (e.g. using issues),"great interface, very easy / convenient to use",Often,Often,Always,Other (please specify),it's never come up ... i guess i would have to find others to also review it,Strongly agree,Agree,Agree,Agree,Obtaining contributions from the community,Finding my mistakes during learning,Obtaining answers or suggestions from the community,Meeting like-minded friends in the world,It also acts as a resume / reference for my coding ability,nothing significant comes to mind,nothing significant comes to mind,
