[Multiple Choice] How do you benefit from learning in GitHub?

Respondents,Response Date,Other (please specify),Categories

1,Jun 09 2017 10:34 PM,"I can do things on my own, and learn according to what I want to know.",
2,Jun 09 2017 12:16 PM,I don't.,
3,Jun 09 2017 06:52 AM,"The ability to make contributions to projects in my field, and learn through mentoring of the maintainers of said projects.",
4,Jun 08 2017 04:45 AM,Helping me solve already solved problems and lets me focus on problems that are not yet solved. Makes it more interesting.,
5,Jun 07 2017 08:48 PM,was not aware GitHub had a learning feature,
6,Jun 07 2017 08:32 PM,I do not focus on GitHub itself as the definitive reason for learning. Benifit is simply learning which is not a GitHub specific concept.,
7,Jun 07 2017 06:33 PM,open source benefit,
8,Jun 07 2017 06:04 PM,the synergy of the diverse community,
9,Jun 07 2017 06:01 PM,I haven't tried it,
10,Jun 06 2017 06:28 PM,github is just a code collaboration platform,
11,Jun 05 2017 09:41 PM,"nothing is special about learning with github repos, it is just a place to put code in the lessons",
12,Jun 05 2017 12:44 AM,Workshops,
13,Jun 04 2017 08:29 PM,"differing perspectives, and multiple answers that are still correct",
14,Jun 04 2017 06:09 AM,"Keep the pace with new technology, in a fast way.",
15,Jun 04 2017 02:29 AM,A big portion is the IRC or slack channels where questions can be resolved faster than raising an issue.,
16,Jun 03 2017 03:35 PM,You guys get it ,
17,Jun 03 2017 02:34 PM,"It's just a version control system and just a course, chill",
18,Jun 03 2017 12:54 PM,No benefit at the moment ,
19,Jun 03 2017 10:28 AM,Opportunity to practice the real life applications online,
20,Jun 03 2017 10:21 AM,Open source code to reference when stuck and when seeking for common practices,
21,Jun 03 2017 10:10 AM,stop emailing me,

