What challenges or problems have you encountered on participating in a learning project in GitHub?

Respondents,Response Date,Responses,Categories

1,Jun 20 2017 03:10 PM,machine learning,
2,Jun 20 2017 01:36 PM,"A proper interface to chat or communicate with others , since issues are just for the project updates and project issues, questions for learning the project shouldn't be included in issues. ",
3,Jun 18 2017 06:27 PM,N/A,
4,Jun 13 2017 02:24 AM,NA,
5,Jun 12 2017 04:19 PM,Often hard to find,
6,Jun 11 2017 04:28 PM,nil,
7,Jun 10 2017 09:39 PM,Currently none,
8,Jun 10 2017 05:43 PM,",",
9,Jun 10 2017 01:43 PM,Lack of support of pro devs for teaching us to be a better developer in order to contribute in a community projects.,
10,Jun 10 2017 12:15 PM,"The language, beacause I am a chinese. I hava a bad Endlish,but I enhance it.",
11,Jun 09 2017 10:34 PM,"I wasn't easily able to obtain information from other people, or I wandered into a situation very far above from what I knew.  ",
12,Jun 09 2017 06:47 PM,Can't remember ,
13,Jun 09 2017 04:42 PM,none,
14,Jun 09 2017 02:37 PM,The impulse to go forward has to come from me,
15,Jun 09 2017 12:16 PM,none,
16,Jun 09 2017 10:36 AM,*,
17,Jun 09 2017 06:52 AM,None,
18,Jun 09 2017 04:55 AM,No problems at the moment,
19,Jun 09 2017 01:37 AM,n/a,
20,Jun 09 2017 12:56 AM,Can't recall any so far.,
21,Jun 09 2017 12:44 AM,Not enough videoes,
22,Jun 08 2017 11:22 PM,Finding good resource.,
23,Jun 08 2017 08:30 PM,Finding another project/next step. When I find a great tutorial and code sample/guide I am not normally directed by author to a more advanced concept or guide. Normally a write-up just ends where the author stopped writing.,
24,Jun 08 2017 08:15 PM,None really,
25,Jun 08 2017 08:15 PM,None,
26,Jun 08 2017 07:59 PM,"It's hard to pass learning material ""for later""",
27,Jun 08 2017 06:16 PM,.,
28,Jun 08 2017 05:28 PM,"Sometimes documentation or repos arent up to date*
*but someone is providing this as a free resource so I would not criticise them for this.",
29,Jun 08 2017 04:42 PM,Ensuring good quality,
30,Jun 08 2017 06:11 AM,Downloads,
31,Jun 08 2017 04:45 AM,"Sometimes, contributing to some open source project can be too complicated. The only way to discover cool projects is through trending. It would be cool to have more options.",
32,Jun 08 2017 03:47 AM,what in the world is a learning project and what the heck is this survey about???,
33,Jun 08 2017 02:21 AM,Intimidating to use the first few times,
34,Jun 08 2017 01:41 AM,Poor and slow navigation to files and directories,
35,Jun 08 2017 01:41 AM,None that I know if,
36,Jun 08 2017 01:15 AM,different language support,
37,Jun 07 2017 11:40 PM,?,
38,Jun 07 2017 11:34 PM,na,
39,Jun 07 2017 11:11 PM,"Because of a lack in supervising from really experienced people, sometimes advices from the community are either wrong or irrelevant.",
40,Jun 07 2017 10:56 PM,Being older dev its a bit hard to keep up with all these developments.,
41,Jun 07 2017 10:54 PM,Have not participated,
42,Jun 07 2017 10:17 PM,"The learning curve of git is kind of steep as a newcomer, at least it was when I started using Github",
43,Jun 07 2017 10:17 PM,None,
44,Jun 07 2017 10:00 PM,the docs of the project,
45,Jun 07 2017 09:48 PM,"because i'm a newbie, i got some problem when i'm using GH on desktop. But i believe i will use it competently soon :))",
46,Jun 07 2017 09:48 PM,I've never had a problem,
47,Jun 07 2017 09:47 PM,None. I encountered one issue and raised it on the project itself.,
48,Jun 07 2017 09:46 PM,"I am primarily a .Net developer so I use Visual Studio.  Although I can use command line tools to use Git and there is Git support for VS it is not as convenient as other source control for this environment.  I feel that the Git style is a better SC so it would be nice to have a better interface to sync/get/push/etc.  The VS Git interface is lacking (not your fault), the windows interface you provide is cumbersome and it is preferable to just learn the command line at that point which is also cumbersome.  I would not even want to attempt to do some of the merges I have done recently in command line, however rebase would solve most of that issue (rebase does not exist in TFS).  And SVN is just the worst of both worlds.",
49,Jun 07 2017 09:44 PM,non specific,
50,Jun 07 2017 09:42 PM,Sometimes the projects get abandoned. Sometimes the learning curve can be aimless.,
51,Jun 07 2017 09:40 PM,The only challenge faced was just the language used in the repo,
52,Jun 07 2017 09:27 PM,Finding energy and time outside of a difficult workplace to contribute to open source. ,
53,Jun 07 2017 09:26 PM,No challenges,
54,Jun 07 2017 09:22 PM,there is no easy FAQ or Q&A sections or chat integrated,
55,Jun 07 2017 09:06 PM,It's hard to find newbie project to contribute to learning about using github.,
56,Jun 07 2017 08:55 PM,"Once I clone to my local machine, there's a little incentive to return back to the repo page on GitHub, because all material is in my grasp now and all the social stuff is not really interesting for me because of lack of the concept of the teacher.",
57,Jun 07 2017 08:55 PM,No Problems.,
58,Jun 07 2017 08:48 PM,Never tried any,
59,Jun 07 2017 08:32 PM,I'm not entirely sure. The line of questioning seems hyper focused on GitHub when the concept of online learning is not limited to GitHub itself. Any challenge or problem encountered would be the same irregardless of the company/project that hosts the content.,
60,Jun 07 2017 08:31 PM,Haven't done enough outside the opening turorial,
61,Jun 07 2017 08:16 PM,Finding time to interact more...,
62,Jun 07 2017 08:11 PM,I don't remember,
63,Jun 07 2017 08:04 PM,None,
64,Jun 07 2017 08:01 PM,None,
65,Jun 07 2017 08:00 PM,None,
66,Jun 07 2017 07:44 PM,Being msft based,
67,Jun 07 2017 07:43 PM,"Sometime it's hard to explore the detail, stackoverflow is doing way better on it.",
68,Jun 07 2017 07:32 PM,No challenges encountered.,
69,Jun 07 2017 07:21 PM,The UI of github is not optimized for learning. ,
70,Jun 07 2017 07:19 PM,none,
71,Jun 07 2017 07:14 PM,"Documentation
Need to have a really good documentation if the project is really complex.",
72,Jun 07 2017 07:00 PM,I had some issues with the node bundle that I did recently with fcc. Setting up a private repo could be more rigorously defined. But I'm sure it will continue to improve and is already a quality product. ,
73,Jun 07 2017 06:33 PM,naive to understand working with Github,
74,Jun 07 2017 06:31 PM,Working on backend with purescript.,
75,Jun 07 2017 06:31 PM,"Understand the code enough to work on it 
",
76,Jun 07 2017 06:23 PM,Learning how git and github works,
77,Jun 07 2017 06:20 PM,Continuing the program,
78,Jun 07 2017 06:08 PM,NO,
79,Jun 07 2017 06:04 PM,Lack of time.,
80,Jun 07 2017 06:01 PM,Explanation of code,
81,Jun 07 2017 05:57 PM,"GitHub is not good for learning something from scratch, it is good to learn the best practices and more advanced topics",
82,Jun 07 2017 05:53 PM,None,
83,Jun 07 2017 05:51 PM,Sometimes I get stuck when trying to solve some issues.,
84,Jun 07 2017 05:44 PM,N / A,
85,Jun 07 2017 05:42 PM,The learning curve is steep.,
86,Jun 07 2017 05:37 PM,.,
87,Jun 07 2017 05:30 PM,None thus far,
88,Jun 07 2017 05:27 PM,None,
89,Jun 07 2017 04:49 PM,managing the commands,
90,Jun 07 2017 04:46 PM,NA,
91,Jun 07 2017 04:40 PM,NA,
92,Jun 07 2017 04:30 PM,none,
93,Jun 07 2017 04:27 PM,"sometime get problems in GitHub but its okay . I am happy with this .
making effort for something is good for learn something ",
94,Jun 07 2017 04:27 PM,-,
95,Jun 07 2017 04:25 PM,I haven't encountered any problem till so far.,
96,Jun 07 2017 04:18 PM,Learning curve of using Git itself,
97,Jun 07 2017 04:18 PM,It is a bit overwhelming when you start alone. I had no idea what was going on.,
98,Jun 07 2017 04:12 PM,Sometimes the community is just to long to respone,
99,Jun 07 2017 04:09 PM,Stuck up programmers ,
100,Jun 07 2017 04:07 PM,Nothing so far,
101,Jun 07 2017 04:05 PM,.,
102,Jun 07 2017 04:03 PM,Learning GIT with no experience previously,
103,Jun 07 2017 04:02 PM,none,
104,Jun 07 2017 03:59 PM,none,
105,Jun 07 2017 03:59 PM,None,
106,Jun 07 2017 03:54 PM,difficult to set up environment,
107,Jun 07 2017 03:53 PM,"There can be sometimes too much information, and that information does not always match. Different developers have different opinions on the ""right"" way to do something. Also, the high speed of change means that sometimes you find information that is out of date.",
108,Jun 07 2017 03:47 PM,N/A,
109,Jun 07 2017 03:46 PM,no,
110,Jun 07 2017 03:45 PM,nothing special,
111,Jun 07 2017 03:44 PM,It can be little hard for beginners,
112,Jun 07 2017 03:43 PM,"People who've hosted the projects, sometimes don't reply.",
113,Jun 07 2017 03:41 PM,none,
114,Jun 07 2017 08:26 AM,Keeping up with the work once I get started. Life gets in the way often and at times I forget to go back to a project once it's been started.,
115,Jun 07 2017 02:52 AM,None I can think of.  ,
116,Jun 07 2017 01:27 AM,finding time in the real world,
117,Jun 06 2017 10:28 PM,"project that span multiple repositories are hard to keep track of... issues, milestones, labels, and PR's are all repository specific.",
118,Jun 06 2017 08:59 PM,n/a,
119,Jun 06 2017 08:37 PM,"People (owners/contributors) don't always feel obligated to help you out. In fact they aren't obligated at all.

This sometimes causes delays etc.",
120,Jun 06 2017 06:28 PM,i do not participate in learning projects,
121,Jun 06 2017 06:26 PM,said above,
122,Jun 06 2017 04:21 PM,"actually none, it was quite smooth",
123,Jun 06 2017 02:03 PM,creating pull requests for a simple type/or other simple work is tedious,
124,Jun 06 2017 12:14 PM,None,
125,Jun 06 2017 12:08 AM,learning how to post my project,
126,Jun 05 2017 11:27 PM,Open source projects are too complicated to begin with,
127,Jun 05 2017 11:16 PM,There is a few people that answer in a rude way.,
128,Jun 05 2017 09:41 PM,I'm not able to subscribe for changes in one file of code,
129,Jun 05 2017 08:57 PM,Missing guidelines,
130,Jun 05 2017 08:26 PM,na,
131,Jun 05 2017 07:41 PM,null,
132,Jun 05 2017 07:32 PM,None,
133,Jun 05 2017 01:02 PM,Some codes are badly written did not follow good software engineering principles . Materials should follow proper variable naming practice modularizarion .,
134,Jun 05 2017 08:58 AM,Ok,
135,Jun 05 2017 08:57 AM,Nothing,
136,Jun 05 2017 07:44 AM,Unclear Instructions (Sometimes),
137,Jun 05 2017 07:09 AM,None I can recall,
138,Jun 05 2017 03:23 AM,Late or no response ,
139,Jun 05 2017 01:48 AM,Nothing,
140,Jun 05 2017 01:44 AM,Its a bit noisy at times,
141,Jun 05 2017 01:40 AM,Not completing the task,
